,price,bedrooms,bathrooms,sqft_living,floors,view,grade,sqft_above,sqft_basement,lat,long,sqft_living15,WaterFront,month_sold,age,yrs_reno,Renovated,dist_to_Seattle,Bellevue,Federal Way,Kent,Renton,Seattle,rel_size
4854,382500.0,3,1.75,1040,1.0,0.0,7,1040,0,47.5253,-122.04299999999999,1750,0,7,47,47.0,0,14.76,0,0,0,1,0,0.5942857142857143
4856,596000.0,4,2.25,2270,1.0,0.0,8,1720,550,47.5599,-122.14200000000001,2270,0,8,40,40.0,0,9.59,1,0,0,0,0,1.0
4857,220000.0,4,2.25,1950,2.0,0.0,8,1950,0,47.2957,-122.37,1910,0,11,35,35.0,0,21.62,0,1,0,0,0,1.0209424083769634
4858,325000.0,3,2.5,1880,2.0,0.0,8,1880,0,47.4206,-122.18299999999999,1970,0,9,21,21.0,0,14.76,0,0,1,0,0,0.9543147208121827
4859,679950.0,4,2.5,2850,2.0,0.0,9,2850,0,47.5835,-121.99600000000001,2850,0,3,14,14.0,0,15.88,1,0,0,0,0,1.0
4860,175000.0,2,1.0,1160,1.0,0.0,7,1160,0,47.7149,-122.318,1120,0,2,68,68.0,0,7.42,0,0,0,0,1,1.0357142857142858
4861,268000.0,3,1.75,1370,1.0,1.0,7,1370,0,47.3338,-122.34100000000001,1720,0,12,48,48.0,0,18.94,0,1,0,0,0,0.7965116279069767
4869,215000.0,4,2.0,1540,1.0,0.0,7,1040,500,47.3664,-122.279,1720,0,7,36,36.0,0,16.89,0,0,1,0,0,0.8953488372093024
4870,593450.0,4,2.25,2130,2.0,0.0,8,2130,0,47.6271,-122.11200000000001,1910,0,4,51,51.0,0,10.47,1,0,0,0,0,1.1151832460732984
4871,498800.0,2,1.75,1350,1.0,0.0,8,1350,0,47.7091,-122.015,1680,0,7,6,6.0,0,16.44,1,0,0,0,0,0.8035714285714286
4872,849000.0,5,3.25,2450,2.0,0.0,8,1770,680,47.688,-122.281,1620,0,12,63,0.0,1,6.07,0,0,0,0,1,1.5123456790123457
4874,825000.0,5,2.5,2890,2.0,2.0,9,2890,0,47.5453,-121.995,3010,0,7,11,11.0,0,16.43,1,0,0,0,0,0.9601328903654485
4875,265000.0,3,1.75,1680,1.0,0.0,8,1340,340,47.4631,-122.126,1730,0,2,26,26.0,0,13.97,0,0,0,1,0,0.9710982658959537
4876,285000.0,4,2.25,1960,1.0,0.0,8,1220,740,47.3199,-122.39200000000001,1650,0,12,29,29.0,0,20.07,0,1,0,0,0,1.187878787878788
4877,240000.0,3,1.75,1590,1.0,0.0,7,1190,400,47.3628,-122.05,1680,0,12,35,35.0,0,21.53,0,0,1,0,0,0.9464285714285714
4879,330000.0,4,1.75,2440,1.0,0.0,8,1610,830,47.3743,-122.285,2180,0,6,36,36.0,0,16.31,0,0,1,0,0,1.1192660550458715
4880,250000.0,4,2.0,1850,1.0,0.0,7,1540,310,47.3666,-122.277,1620,0,6,36,36.0,0,16.89,0,0,1,0,0,1.1419753086419753
4881,350000.0,4,2.5,2800,2.0,0.0,8,2800,0,47.2675,-122.307,1970,0,7,21,21.0,0,23.55,0,1,0,0,0,1.4213197969543148
4883,275000.0,3,2.0,1910,1.0,0.0,7,1000,910,47.37,-122.17,1780,0,10,34,34.0,0,18.15,0,0,1,0,0,1.0730337078651686
4884,325000.0,4,2.25,2460,1.0,0.0,7,1230,1230,47.5285,-122.345,2090,0,2,46,46.0,0,5.51,0,0,0,0,1,1.1770334928229664
4885,255000.0,1,1.0,810,1.0,1.0,7,590,220,47.5696,-122.36,1920,0,4,79,79.0,0,2.89,0,0,0,0,1,0.421875
4886,562200.0,3,1.5,1900,1.0,0.0,7,1500,400,47.6991,-122.39200000000001,1810,0,3,72,72.0,0,6.82,0,0,0,0,1,1.0497237569060773
4888,365000.0,3,2.5,2200,1.0,0.0,8,1570,630,47.4395,-122.161,2350,0,5,26,26.0,0,14.19,0,0,0,1,0,0.9361702127659575
4889,332900.0,3,1.5,1190,1.0,0.0,7,1190,0,47.7561,-122.071,1190,0,3,46,46.0,0,15.98,1,0,0,0,0,1.0
4891,487275.0,4,2.5,2400,2.0,0.0,8,2400,0,47.5344,-121.87700000000001,2070,0,4,16,16.0,0,21.94,1,0,0,0,0,1.1594202898550725
4892,310000.0,3,2.5,1670,2.0,0.0,7,1670,0,47.4424,-122.18799999999999,1610,0,4,20,20.0,0,13.34,0,0,0,1,0,1.0372670807453417
4893,245000.0,2,1.0,990,1.0,0.0,6,990,0,47.5615,-122.28,1700,0,1,107,107.0,0,4.11,0,0,0,0,1,0.5823529411764706
4894,325000.0,3,1.75,2920,1.0,0.0,7,2920,0,47.4429,-122.195,1560,0,4,51,51.0,0,13.14,0,0,0,1,0,1.8717948717948718
4896,350000.0,2,1.0,910,1.5,0.0,7,910,0,47.5633,-122.289,1270,0,5,108,108.0,0,3.76,0,0,0,0,1,0.7165354330708661
4898,259950.0,3,1.5,1240,1.0,0.0,7,1240,0,47.4756,-122.35,1845,0,11,59,59.0,0,9.17,0,0,0,1,0,0.6720867208672087
4899,240000.0,4,2.5,1980,2.0,0.0,7,1980,0,47.3678,-122.01899999999999,1600,0,12,18,18.0,0,22.2,0,0,1,0,0,1.2375
4900,186000.0,3,1.0,1200,1.0,0.0,7,1200,0,47.3261,-122.135,1230,0,2,46,46.0,0,21.59,0,0,1,0,0,0.975609756097561
4902,475000.0,4,2.5,3150,2.0,0.0,9,3150,0,47.4568,-122.117,3100,0,9,10,10.0,0,14.58,0,0,0,1,0,1.0161290322580645
4903,815000.0,5,3.5,3500,2.0,0.0,10,3500,0,47.5887,-121.97399999999999,3110,0,8,18,18.0,0,16.87,1,0,0,0,0,1.1254019292604502
4905,419500.0,3,2.5,1360,2.0,0.0,7,1360,0,47.6831,-122.096,1090,0,10,28,28.0,0,12.27,1,0,0,0,0,1.2477064220183487
4906,298700.0,3,2.25,2110,1.0,0.0,8,1530,580,47.3088,-122.34100000000001,2640,0,9,34,34.0,0,20.66,0,1,0,0,0,0.7992424242424242
4908,278000.0,3,1.5,1900,1.0,0.0,7,1120,780,47.4729,-122.301,1900,0,4,55,55.0,0,9.46,0,0,0,1,0,1.0
4909,455000.0,4,2.0,2380,1.5,0.0,6,1470,910,47.5652,-122.281,1300,0,12,88,0.0,1,3.89,0,0,0,0,1,1.8307692307692307
4911,465000.0,2,1.5,1120,3.0,0.0,8,1120,0,47.6524,-122.353,1370,0,4,16,16.0,0,3.18,0,0,0,0,1,0.8175182481751825
4912,620000.0,4,4.0,2850,2.0,0.0,8,2120,730,47.547,-122.01,2380,0,10,15,15.0,0,15.72,1,0,0,0,0,1.1974789915966386
4913,499900.0,4,2.25,2360,1.0,0.0,8,1640,720,47.75,-122.292,2320,0,4,52,52.0,0,10.01,0,0,0,0,1,1.0172413793103448
4914,620000.0,5,3.0,2540,1.0,0.0,8,1270,1270,47.5459,-122.176,2090,0,2,53,1.0,1,8.56,1,0,0,0,0,1.215311004784689
4915,450000.0,3,1.75,1160,1.0,0.0,7,1040,120,47.6926,-122.287,1530,0,11,73,73.0,0,6.26,0,0,0,0,1,0.7581699346405228
4916,690000.0,4,3.5,2710,2.0,0.0,10,2220,490,47.5468,-121.994,2650,0,2,8,8.0,0,16.44,1,0,0,0,0,1.0226415094339623
4919,832500.0,3,2.0,1870,1.0,0.0,7,1870,0,47.5777,-122.22399999999999,1970,0,8,63,17.0,1,5.58,1,0,0,0,0,0.949238578680203
4920,245000.0,3,1.0,1010,1.0,0.0,7,1010,0,47.4396,-122.285,1010,0,11,59,59.0,0,11.86,0,0,0,1,0,1.0
4922,369000.0,4,2.75,2420,2.0,0.0,8,2420,0,47.3771,-122.029,2420,0,8,9,9.0,0,21.41,0,0,1,0,0,1.0
4924,653000.0,3,3.0,3040,3.0,2.0,10,3040,0,47.5409,-122.26700000000001,1820,0,9,21,21.0,0,5.62,0,0,0,1,0,1.6703296703296704
4926,300000.0,5,3.0,1940,1.0,0.0,8,1200,740,47.49800000000001,-122.322,1940,0,6,7,7.0,0,7.62,0,0,0,1,0,1.0
4928,360000.0,4,2.5,1950,2.0,0.0,7,1950,0,47.4341,-122.14399999999999,2240,0,11,10,10.0,0,14.95,0,0,0,1,0,0.8705357142857143
4929,672500.0,3,2.5,2450,2.0,0.0,9,2450,0,47.6145,-122.02600000000001,2450,0,3,15,15.0,0,14.4,1,0,0,0,0,1.0
4930,268000.0,4,1.5,1730,1.5,0.0,5,1730,0,47.4939,-122.167,1110,0,4,62,62.0,0,11.11,0,0,0,1,0,1.5585585585585586
4931,440000.0,4,1.5,1690,1.5,0.0,8,1690,0,47.5445,-122.375,1380,0,12,85,85.0,0,4.76,0,0,0,0,1,1.2246376811594204
4933,590000.0,4,2.5,2290,2.0,0.0,9,2290,0,47.6283,-122.03,2340,0,7,28,28.0,0,14.27,1,0,0,0,0,0.9786324786324786
4935,266500.0,4,1.75,1880,1.0,0.0,7,1180,700,47.3068,-122.37200000000001,1840,0,5,36,36.0,0,20.87,0,1,0,0,0,1.0217391304347827
4936,635000.0,4,2.5,2930,2.0,0.0,8,2930,0,47.5164,-122.19,2030,0,12,0,0.0,0,9.26,0,0,0,1,0,1.4433497536945812
4940,650000.0,4,2.25,2440,1.0,0.0,7,1880,560,47.5933,-122.135,1530,0,3,58,58.0,0,9.37,1,0,0,0,0,1.5947712418300655
4941,312500.0,4,1.75,2280,1.0,0.0,7,1280,1000,47.4809,-122.22399999999999,2120,0,2,58,58.0,0,10.19,0,0,0,1,0,1.0754716981132075
4942,225000.0,3,1.0,900,1.0,0.0,6,790,110,47.4807,-122.289,1240,0,9,70,70.0,0,9.05,0,0,0,1,0,0.7258064516129032
4943,425000.0,4,1.75,1980,1.0,0.0,7,1330,650,47.6721,-122.152,1920,0,11,46,46.0,0,9.6,1,0,0,0,0,1.03125
4945,572000.0,5,2.25,2340,2.0,0.0,8,2340,0,47.6369,-122.098,2140,0,7,41,41.0,0,11.22,1,0,0,0,0,1.0934579439252337
4946,386500.0,4,2.5,3110,2.0,0.0,8,3110,0,47.3782,-122.125,3110,0,4,13,13.0,0,18.65,0,0,1,0,0,1.0
4947,452000.0,2,1.0,980,1.0,0.0,6,980,0,47.6744,-122.369,1270,0,1,111,111.0,0,4.85,0,0,0,0,1,0.7716535433070866
4948,278000.0,4,2.0,1480,1.0,0.0,7,1480,0,47.6147,-122.302,1480,0,12,71,71.0,0,1.61,0,0,0,0,1,1.0
4950,450000.0,2,1.75,2130,1.0,0.0,8,1500,630,47.6529,-122.411,2130,0,4,69,69.0,0,4.7,0,0,0,0,1,1.0
4951,611000.0,2,1.0,1270,1.0,0.0,7,1100,170,47.6771,-122.32799999999999,1670,0,11,114,114.0,0,4.78,0,0,0,0,1,0.7604790419161677
4952,214100.0,2,2.5,1150,2.0,0.0,7,1150,0,47.3516,-122.292,1880,0,6,10,10.0,0,17.82,0,1,0,0,0,0.6117021276595744
4953,317000.0,3,2.5,1840,2.0,0.0,8,1840,0,47.3555,-122.054,2000,0,5,2,2.0,0,21.82,0,0,1,0,0,0.92
4956,525000.0,4,2.5,3070,2.0,0.0,8,3070,0,47.4899,-122.13799999999999,2590,0,5,10,10.0,0,12.29,0,0,0,1,0,1.1853281853281854
4957,436000.0,3,2.25,1800,2.0,0.0,8,1800,0,47.7293,-122.223,1630,0,10,31,31.0,0,9.87,1,0,0,0,0,1.1042944785276074
4958,450000.0,3,1.75,1540,1.0,0.0,8,1540,0,47.6207,-122.042,1990,0,7,31,31.0,0,13.67,1,0,0,0,0,0.7738693467336684
4960,340000.0,4,1.75,1400,1.0,0.0,7,1400,0,47.4735,-122.344,1420,0,5,62,62.0,0,9.3,0,0,0,1,0,0.9859154929577465
4963,749000.0,3,2.5,3380,2.0,0.0,8,3380,0,47.6276,-122.12200000000001,1810,0,8,49,11.0,1,10.01,1,0,0,0,0,1.867403314917127
4964,330000.0,3,1.5,1440,1.0,0.0,8,1440,0,47.4561,-122.148,1800,0,5,47,47.0,0,13.64,0,0,0,1,0,0.8
4965,568000.0,3,2.5,1740,3.0,0.0,8,1740,0,47.5891,-122.387,1740,0,8,6,6.0,0,2.74,0,0,0,0,1,1.0
4966,239000.0,3,1.75,1470,1.0,0.0,7,1470,0,47.2026,-122.0,1430,0,9,57,57.0,0,32.08,0,0,1,0,0,1.027972027972028
4967,528000.0,3,2.5,2810,2.0,0.0,8,2810,0,47.7739,-122.227,2470,0,1,12,12.0,0,12.51,1,0,0,0,0,1.1376518218623481
4968,385000.0,4,3.0,2090,1.0,0.0,7,1350,740,47.5427,-122.35600000000001,2090,0,7,20,20.0,0,4.61,0,0,0,0,1,1.0
4969,825000.0,4,3.25,4110,2.0,2.0,10,2570,1540,47.7382,-122.264,2760,0,9,35,35.0,0,9.58,1,0,0,0,0,1.4891304347826086
4970,815000.0,5,3.25,3230,2.0,1.0,9,2350,880,47.5202,-122.39299999999999,1520,0,11,12,12.0,0,6.63,0,0,0,0,1,2.125
4972,690000.0,3,1.75,2070,1.0,3.0,8,1340,730,47.5226,-122.382,2200,0,10,59,59.0,0,6.29,0,0,0,0,1,0.9409090909090909
4973,210000.0,3,1.0,1660,1.0,0.0,7,1270,390,47.5242,-122.36200000000001,1540,0,3,58,58.0,0,5.92,0,0,0,0,1,1.077922077922078
4974,599000.0,4,1.0,1590,1.5,0.0,7,1590,0,47.667,-122.335,2230,0,4,91,91.0,0,4.07,0,0,0,0,1,0.7130044843049327
4975,860000.0,3,1.75,1860,1.0,0.0,8,1310,550,47.637,-122.4,1630,0,2,64,64.0,0,3.62,0,0,0,0,1,1.1411042944785277
4976,147200.0,3,1.0,1420,1.0,0.0,6,1420,0,47.4232,-122.292,1400,0,2,61,61.0,0,12.92,0,0,1,0,0,1.0142857142857142
4977,476900.0,3,1.0,1240,1.5,0.0,6,960,280,47.5675,-122.396,1460,0,5,105,105.0,0,3.98,0,0,0,0,1,0.8493150684931506
4979,570000.0,4,2.5,2640,2.0,0.0,8,2640,0,47.733000000000004,-121.96799999999999,2400,0,5,16,16.0,0,19.13,1,0,0,0,0,1.1
4980,567500.0,3,1.0,1440,1.5,0.0,7,1440,0,47.6769,-122.307,1440,0,10,104,104.0,0,4.93,0,0,0,0,1,1.0
4982,875000.0,3,1.5,1820,1.0,0.0,7,1820,0,47.5886,-122.195,3020,0,7,62,62.0,0,6.66,1,0,0,0,0,0.6026490066225165
4983,490000.0,3,2.0,2220,2.0,0.0,9,1640,580,47.5304,-122.055,2300,0,6,34,34.0,0,14.11,0,0,0,1,0,0.9652173913043478
4984,335000.0,3,1.75,2430,1.0,0.0,7,1410,1020,47.5116,-122.15700000000001,1980,0,6,36,36.0,0,10.64,0,0,0,1,0,1.2272727272727273
4985,550000.0,3,1.75,1670,1.0,0.0,8,1670,0,47.549,-122.17,2290,0,4,53,53.0,0,8.71,1,0,0,0,0,0.7292576419213974
4986,385000.0,3,1.75,1180,1.0,0.0,7,940,240,47.6348,-122.03200000000001,1230,0,5,33,33.0,0,14.23,1,0,0,0,0,0.959349593495935
4987,395000.0,3,1.75,1620,1.0,0.0,7,1210,410,47.7349,-122.197,1700,0,7,38,38.0,0,10.86,1,0,0,0,0,0.9529411764705882
4988,650000.0,2,1.0,1030,1.0,0.0,8,1030,0,47.5861,-122.391,1570,0,6,86,86.0,0,3.01,0,0,0,0,1,0.6560509554140127
4989,637000.0,4,2.75,2900,2.0,0.0,9,2900,0,47.7368,-122.23200000000001,2900,0,3,8,8.0,0,10.1,1,0,0,0,0,1.0
4990,692500.0,3,2.25,3420,1.0,0.0,9,1710,1710,47.7412,-122.256,2290,0,10,51,10.0,1,9.91,1,0,0,0,0,1.4934497816593886
4992,233500.0,3,1.5,1580,1.0,0.0,6,1580,0,47.2903,-122.214,1400,0,9,57,57.0,0,22.65,0,1,0,0,0,1.1285714285714286
4993,400000.0,3,2.0,1230,1.0,0.0,7,990,240,47.6321,-122.03399999999999,1570,0,6,30,30.0,0,14.11,1,0,0,0,0,0.7834394904458599
4994,547000.0,5,2.5,2200,1.5,0.0,7,1420,780,47.6872,-122.35,1300,0,6,98,98.0,0,5.51,0,0,0,0,1,1.6923076923076923
4997,365000.0,3,1.0,1090,1.0,0.0,7,1090,0,47.5334,-122.365,1340,0,5,59,59.0,0,5.34,0,0,0,0,1,0.8134328358208955
4999,525000.0,3,1.75,1970,1.0,0.0,8,1970,0,47.6324,-122.1,1910,0,10,46,46.0,0,11.07,1,0,0,0,0,1.031413612565445
5000,430000.0,4,3.0,3220,2.0,0.0,9,2450,770,47.4208,-122.213,2810,0,5,24,24.0,0,14.13,0,0,1,0,0,1.1459074733096086
5001,325000.0,3,1.0,1600,1.0,0.0,7,1600,0,47.7198,-122.182,2050,0,12,48,48.0,0,10.5,1,0,0,0,0,0.7804878048780488
5002,279000.0,2,1.0,670,1.0,0.0,6,670,0,47.5161,-122.374,760,0,7,72,72.0,0,6.6,0,0,0,0,1,0.881578947368421
5003,805000.0,4,1.75,2360,2.0,0.0,7,1660,700,47.6729,-122.29299999999999,1810,0,3,104,104.0,0,4.89,0,0,0,0,1,1.3038674033149171
5004,419950.0,3,3.0,2150,1.5,0.0,7,1540,610,47.7183,-122.285,1730,0,2,66,66.0,0,7.96,0,0,0,0,1,1.2427745664739884
5005,425000.0,2,1.0,620,1.0,0.0,6,620,0,47.6877,-122.395,1180,0,4,88,88.0,0,6.17,0,0,0,0,1,0.5254237288135594
5006,446000.0,4,1.75,1730,2.0,0.0,7,1730,0,47.7188,-122.321,1700,0,7,65,65.0,0,7.68,0,0,0,0,1,1.0176470588235293
5007,455000.0,5,2.0,2500,1.0,0.0,7,1040,1460,47.7212,-122.226,2060,0,3,52,52.0,0,9.32,1,0,0,0,0,1.2135922330097086
5008,226550.0,3,1.0,990,1.0,0.0,6,990,0,47.522,-122.354,990,0,7,71,71.0,0,6.0,0,0,0,0,1,1.0
5009,764000.0,3,2.0,1420,1.5,0.0,8,1420,0,47.6801,-122.348,1220,0,9,110,110.0,0,5.01,0,0,0,0,1,1.1639344262295082
5011,453000.0,4,2.0,1880,1.0,0.0,8,1880,0,47.6872,-122.34899999999999,1610,0,12,62,62.0,0,5.51,0,0,0,0,1,1.1677018633540373
5012,219950.0,3,1.0,1300,1.0,0.0,7,1300,0,47.282,-122.331,1420,0,2,44,44.0,0,22.51,0,1,0,0,0,0.9154929577464789
5013,702500.0,3,1.5,2360,2.0,0.0,7,1930,430,47.6923,-122.33200000000001,1320,0,5,88,88.0,0,5.82,0,0,0,0,1,1.7878787878787878
5014,285000.0,3,1.5,1780,1.0,0.0,8,1780,0,47.335,-122.321,2460,0,10,58,58.0,0,18.86,0,1,0,0,0,0.7235772357723578
5015,798750.0,2,2.25,2160,3.0,0.0,8,2160,0,47.6607,-122.354,1800,0,2,10,10.0,0,3.74,0,0,0,0,1,1.2
5016,320000.0,2,1.0,950,1.0,2.0,7,950,0,47.57,-122.38,1620,0,6,66,66.0,0,3.35,0,0,0,0,1,0.5864197530864198
5018,540000.0,4,2.5,2290,2.0,0.0,9,2290,0,47.7385,-122.169,2570,0,7,10,10.0,0,11.87,1,0,0,0,0,0.8910505836575876
5022,525000.0,3,1.75,1720,1.0,0.0,7,1140,580,47.6977,-122.132,1700,0,4,38,38.0,0,11.3,1,0,0,0,0,1.011764705882353
5023,324950.0,4,2.5,2641,2.0,0.0,7,2641,0,47.4038,-122.213,2641,0,8,16,16.0,0,15.21,0,0,1,0,0,1.0
5025,464000.0,3,2.5,2460,1.0,0.0,8,1520,940,47.5231,-122.20200000000001,1745,0,8,13,13.0,0,8.54,0,0,0,1,0,1.4097421203438396
5026,266000.0,4,2.25,1995,2.0,0.0,8,1995,0,47.2986,-122.37,1880,0,7,33,33.0,0,21.43,0,1,0,0,0,1.0611702127659575
5028,415000.0,3,1.75,1270,1.0,0.0,7,1270,0,47.5362,-122.376,1220,0,6,62,0.0,1,5.31,0,0,0,0,1,1.040983606557377
5029,550000.0,4,2.75,3080,2.0,3.0,9,3080,0,47.4522,-122.118,3080,0,9,11,11.0,0,14.77,0,0,0,1,0,1.0
5031,280000.0,3,2.0,1470,1.0,0.0,7,1470,0,47.3878,-122.316,1530,0,6,27,27.0,0,15.23,0,0,1,0,0,0.9607843137254902
5032,459000.0,3,1.75,1730,1.0,0.0,7,1260,470,47.7211,-122.169,1800,0,10,38,38.0,0,10.98,1,0,0,0,0,0.9611111111111111
5033,195000.0,3,1.0,1070,1.0,0.0,7,1070,0,47.3189,-122.37299999999999,1240,0,10,45,45.0,0,20.04,0,1,0,0,0,0.8629032258064516
5034,235000.0,3,1.5,1660,1.0,0.0,7,1080,580,47.3117,-122.208,1500,0,11,55,55.0,0,21.3,0,1,0,0,0,1.1066666666666667
5036,440000.0,3,2.5,1040,3.0,0.0,7,1040,0,47.6673,-122.37700000000001,1290,0,1,8,8.0,0,4.53,0,0,0,0,1,0.8062015503875969
5037,515000.0,2,1.0,970,1.0,0.0,7,970,0,47.6609,-122.34299999999999,1060,0,2,99,99.0,0,3.67,0,0,0,0,1,0.9150943396226415
5039,560000.0,3,1.75,2340,1.5,0.0,8,2340,0,47.5432,-122.177,1970,0,4,50,50.0,0,8.62,0,0,0,1,0,1.1878172588832487
5041,600000.0,2,1.0,1110,1.5,0.0,6,970,140,47.6453,-122.32700000000001,1884,0,11,102,102.0,0,2.6,0,0,0,0,1,0.589171974522293
5042,764000.0,4,2.5,2790,2.0,0.0,9,2790,0,47.6223,-122.02600000000001,2780,0,6,17,17.0,0,14.42,1,0,0,0,0,1.0035971223021583
5043,337000.0,4,2.0,1590,1.0,0.0,8,1590,0,47.7408,-121.97399999999999,2090,0,7,13,13.0,0,19.13,1,0,0,0,0,0.7607655502392344
5045,249000.0,4,1.0,1200,1.0,0.0,6,1060,140,47.5317,-122.37,1580,0,11,95,95.0,0,5.51,0,0,0,0,1,0.759493670886076
5047,269950.0,3,2.25,1510,1.0,0.0,7,1150,360,47.3484,-122.036,1510,0,1,22,22.0,0,22.72,0,0,1,0,0,1.0
5050,475000.0,4,2.25,2110,2.0,0.0,8,2110,0,47.7331,-122.18299999999999,2110,0,9,40,40.0,0,11.16,1,0,0,0,0,1.0
5051,339000.0,3,2.0,2350,1.5,0.0,9,2350,0,47.3043,-122.34899999999999,2430,0,3,26,26.0,0,20.98,0,1,0,0,0,0.9670781893004116
5055,460000.0,3,2.0,1760,2.0,0.0,7,1760,0,47.6534,-122.12799999999999,2010,0,5,29,29.0,0,10.14,1,0,0,0,0,0.8756218905472637
5056,370000.0,4,2.75,2200,1.0,0.0,7,1120,1080,47.74,-122.34299999999999,1210,0,12,63,63.0,0,9.12,0,0,0,0,1,1.8181818181818181
5057,250000.0,4,1.0,1550,1.5,0.0,6,1550,0,47.5184,-122.366,1370,0,3,58,58.0,0,6.35,0,0,0,0,1,1.1313868613138687
5059,430000.0,2,2.25,1040,2.0,0.0,8,1040,0,47.6037,-122.307,1560,0,9,6,6.0,0,1.34,0,0,0,0,1,0.6666666666666666
5061,670000.0,3,1.75,1850,1.0,0.0,8,1850,0,47.7241,-122.363,1600,0,4,63,63.0,0,8.12,0,0,0,0,1,1.15625
5062,461550.0,3,1.5,2090,1.0,0.0,7,1790,300,47.5362,-122.26700000000001,2180,0,4,61,61.0,0,5.89,0,0,0,1,0,0.9587155963302753
5063,479990.0,3,2.5,2010,2.0,0.0,8,1390,620,47.5525,-121.99799999999999,1690,0,8,0,0.0,0,16.16,1,0,0,0,0,1.1893491124260356
5064,643000.0,4,2.5,2518,2.0,0.0,8,2518,0,47.5894,-122.01700000000001,2280,0,4,10,10.0,0,14.87,1,0,0,0,0,1.1043859649122807
5065,607000.0,3,2.75,2810,2.0,0.0,8,2040,770,47.6796,-122.11399999999999,1890,0,9,26,26.0,0,11.41,1,0,0,0,0,1.4867724867724867
5066,625000.0,3,2.5,2600,1.0,0.0,9,2600,0,47.6223,-122.03200000000001,2440,0,5,30,30.0,0,14.14,1,0,0,0,0,1.0655737704918034
5067,731100.0,3,2.5,2060,1.0,0.0,8,1160,900,47.5245,-122.384,1990,0,7,61,4.0,1,6.2,0,0,0,0,1,1.035175879396985
5069,435000.0,4,2.5,2130,2.0,0.0,8,2130,0,47.4381,-122.16,2220,0,11,28,28.0,0,14.29,0,0,0,1,0,0.9594594594594594
5071,740000.0,3,1.0,1230,1.5,0.0,7,1230,0,47.6947,-122.315,1250,0,4,88,88.0,0,6.06,0,0,0,0,1,0.984
5073,250000.0,3,2.0,1430,1.0,0.0,7,990,440,47.3742,-122.18,1430,0,11,34,34.0,0,17.69,0,0,1,0,0,1.0
5074,656000.0,2,2.5,2270,3.0,0.0,7,1820,450,47.6757,-122.12100000000001,2180,0,3,6,6.0,0,11.0,1,0,0,0,0,1.0412844036697249
5075,300000.0,4,2.5,1910,2.0,0.0,8,1910,0,47.3891,-122.17200000000001,1910,0,10,22,22.0,0,16.92,0,0,1,0,0,1.0
5077,311000.0,4,2.5,2690,2.0,0.0,7,2690,0,47.3343,-122.05799999999999,2300,0,8,7,7.0,0,22.9,0,0,1,0,0,1.1695652173913043
5078,360000.0,3,1.75,1330,1.0,0.0,7,1330,0,47.7322,-122.20700000000001,1480,0,7,39,39.0,0,10.44,1,0,0,0,0,0.8986486486486487
5079,475000.0,4,2.5,3060,1.0,0.0,8,1700,1360,47.7387,-122.337,1630,0,5,46,46.0,0,9.02,0,0,0,0,1,1.8773006134969326
5080,469950.0,3,3.25,1760,3.0,0.0,8,1760,0,47.7201,-122.301,1520,0,8,6,6.0,0,7.9,0,0,0,0,1,1.1578947368421053
5081,240000.0,3,1.75,1570,1.0,0.0,7,1570,0,47.4425,-122.333,1890,0,7,54,54.0,0,11.43,0,0,0,1,0,0.8306878306878307
5082,232000.0,2,1.0,960,1.0,0.0,6,810,150,47.494,-122.304,960,0,9,78,78.0,0,8.0,0,0,0,1,0,1.0
5085,355000.0,3,2.25,1960,1.0,0.0,8,1600,360,47.4427,-122.126,1980,0,12,34,34.0,0,15.01,0,0,0,1,0,0.98989898989899
5086,475000.0,4,2.0,1790,1.0,2.0,7,840,950,47.6526,-122.345,1440,0,5,105,105.0,0,3.11,0,0,0,0,1,1.2430555555555556
5087,823000.0,3,2.5,2560,2.0,0.0,9,2560,0,47.5497,-122.145,2710,0,3,27,27.0,0,9.73,1,0,0,0,0,0.9446494464944649
5088,395000.0,2,1.5,1010,1.0,0.0,7,1010,0,47.6897,-122.354,1160,0,11,96,96.0,0,5.71,0,0,0,0,1,0.8706896551724138
5089,499000.0,4,3.75,2560,2.0,0.0,7,1900,660,47.7326,-122.34200000000001,1400,0,4,52,9.0,1,8.61,0,0,0,0,1,1.8285714285714285
5090,420000.0,2,1.75,1200,1.0,0.0,7,800,400,47.6132,-122.29700000000001,1330,0,4,111,10.0,1,1.81,0,0,0,0,1,0.9022556390977443
5092,833000.0,4,1.75,2260,1.0,0.0,9,2260,0,47.5976,-122.178,2430,0,3,48,48.0,0,7.35,1,0,0,0,0,0.9300411522633745
5093,479000.0,3,2.25,2110,2.0,0.0,8,2110,0,47.742,-122.105,1860,0,6,36,36.0,0,14.15,1,0,0,0,0,1.1344086021505377
5095,267000.0,3,1.0,1400,1.5,0.0,6,1400,0,47.7124,-122.289,1420,0,7,70,70.0,0,7.52,0,0,0,0,1,0.9859154929577465
5097,490000.0,3,2.5,2010,2.0,0.0,8,2010,0,47.56800000000001,-122.01799999999999,1850,0,7,27,27.0,0,15.03,1,0,0,0,0,1.0864864864864865
5098,619000.0,4,2.0,2300,1.5,0.0,8,1550,750,47.678000000000004,-122.361,1670,0,5,99,99.0,0,4.98,0,0,0,0,1,1.377245508982036
5100,549000.0,3,2.0,1340,2.0,0.0,7,1340,0,47.6857,-122.34899999999999,1120,0,11,109,109.0,0,5.4,0,0,0,0,1,1.1964285714285714
